Year,January,February,March,April,May,June,July,August,September,October,November,December
1995,0.52,0.36,7.35,12.91,14.99,20.79,27.82,35.57,23.87,6.29,1.33,0.8
1996,0.62,0.95,0.65,1.28,0.62,5.27,33.53,37.84,35.98,21.59,2.5,1.2
1997,1.03,2.5,3.29,5.84,1.96,4.02,37.84,37.42,37.84,13.38,2.45,2.97
1998,1.12,4.55,7.75,7.48,1.41,9.23,33.33,35.98,36.39,19.73,2.25,1.2
1999,0,1.24,3.18,0.92,1.68,6.55,33.73,37.74,37.84,10.02,1.77,1.12
2000,1.03,2.86,1.77,7.48,3.62,13.46,29.56,38.36,35.77,25.73,2.97,1.54
2001,1.16,1.86,1.07,13.06,16.31,17.99,35.16,0,0,0,0,1.86
2002,1.33,0.92,1.28,1.59,2.5,10.32,34.34,35.36,38.47,19.38,2.86,1.41
2003,0.99,0.88,0.99,9.01,4.67,10.91,32.93,0,0,8.45,1.73,1.24
2004,2.45,0.76,8.17,11.21,9.88,24.79,36.91,39.52,34.55,15.48,2.4,1.41
2005,1.86,1.37,0.84,1.77,1.07,12.13,34.44,35.16,22.04,11.52,7.69,1.73
2006,2.66,0.62,6.96,4.77,5.04,28.71,49.33,0,49.51,36.1,4.97,1.87
2007,1.48,1.82,1.31,0.62,2.82,11.04,45.87,0,45.36,44.34,5.25,1.27
2008,0.74,0.54,0.36,1.31,2.77,10.48,34.87,49.86,42.84,41.35,5.6,1.6
2009,0,1.05,2.4,2.3,4.11,29.13,0,0,0,0,0,0
2010,2.93,0.94,0.91,1.43,0.78,0,0,0,0,0,0,0
2011,0,0,0.91,6.11,1.05,8.51,49.69,48.81,47.24,22.54,1.01,0.57
2012,0.65,0.54,0.74,7.11,3.62,28.85,40.54,48.28,47.07,13.52,1.39,0.68
2013,0.34,0,0.81,7.76,8.18,23.44,48.28,50.03,42.67,18.26,1.31,0.65
2014,0.38,1.16,2.5,11.14,14.15,15.43,50,50.22,49.68,11.42,2.5,0
2015,0,0,0,0,8.01,43.84,48.11,49.86,50.04,32.47,1.6,0.74
2016,0.54,0.36,0.41,2.2,2.87,12.01,49.33,52.72,52.9,9.39,13.52,1.01
2017,0.81,0.65,0.25,0.51,0.34,4.7,43.17,51.28,48.63,0,0,0
2018,0,0,0,0,0,0,49.86,48.46,56.58,0,0,0
