Year,January,February,March,April,May,June,July,August,September,October,November,December
1990,0,142.38,47.46,94.92,21.09,94.92,258.4,342.77,179.3,36.91,0,5.27
1991,0,21.09,73.83,47.46,36.91,116.02,295.31,305.86,137.11,0,0,0
1992,47.46,42.19,5.27,84.38,15.82,158.2,247.85,305.86,79.1,42.19,10.55,5.27
1993,26.37,21.09,21.09,163.48,84.38,226.76,284.77,321.68,168.75,36.91,0,5.27
1994,0,0,31.64,68.55,58.01,152.93,326.95,290.04,137.11,0,5.27,0
1995,0,52.73,31.64,89.65,26.37,110.74,258.4,321.68,126.56,5.27,0,10.55
1996,21.09,0,137.11,68.55,100.2,284.77,369.14,305.86,189.84,15.82,5.27,0
1997,15.82,0,36.91,94.92,73.83,147.66,195.12,242.58,89.65,116.02,10.55,0
1998,26.37,79.1,15.82,36.91,68.55,142.38,411.33,295.31,152.93,168.75,0,0
1999,15.82,0,26.37,10.55,68.55,226.76,258.4,237.3,110.74,121.29,0,0
2000,0,0,5.27,36.91,47.46,110.74,242.58,174.02,79.1,26.37,0,5.27
2001,0,10.55,84.38,15.82,63.28,94.92,195.12,168.75,52.73,5.27,0,0
2002,10.55,0,42.19,36.91,10.55,84.38,116.02,142.38,42.19,0,0,0
2003,5.27,5.27,36.91,36.91,0,73.83,121.29,210.94,63.28,0,0,26.37
2004,0,5.27,52.73,42.19,0,63.28,158.2,137.11,68.55,21.09,0,21.09
2005,10.55,0,63.28,94.92,110.74,47.46,200.39,147.66,89.65,26.37,0,0
2006,5.27,47.46,100.2,68.55,36.91,152.93,321.68,242.58,137.11,47.46,5.27,5.27
2007,5.27,36.91,68.55,47.46,131.84,131.84,253.12,242.58,174.02,15.82,0,0
2008,0,0,0,36.91,47.46,100.2,321.68,326.95,152.93,21.09,63.28,0
2009,42.19,0,21.09,31.64,36.91,68.55,221.48,221.48,94.92,58.01,0,31.64
2010,0,73.83,63.28,110.74,110.74,205.66,290.04,247.85,195.12,10.55,15.82,5.27
2011,0,10.55,58.01,42.19,79.1,137.11,152.93,131.84,84.38,5.27,21.09,0
2012,0,0,5.27,100.2,21.09,100.2,353.32,374.41,168.75,0,0,5.27
2013,15.82,0,68.55,163.48,94.92,184.57,353.32,258.4,147.66,79.1,15.82,0
2014,0,15.82,47.46,63.28,110.74,100.2,242.58,221.48,174.02,79.1,15.82,15.82
2015,0,10.55,10.55,5.27,142.38,163.48,258.4,295.31,58.01,5.27,10.55,10.55
2016,21.09,15.82,31.64,100.2,168.75,121.29,247.85,342.77,200.39,26.37,5.27,0
2017,0,68.55,42.19,21.09,142.38,73.83,348.05,321.68,253.12,31.64,5.27,0
2018,0,42.19,0,121.29,68.55,189.84,253.12,342.77,47.46,21.09,15.82,0
2019,0,0,47.46,131.84,21.09,163.48,237.3,332.23,400.78,21.09,21.09,0
2020,0,0,31.64,210.94,121.29,205.66,474.61,469.34,232.03,36.91,0,0
2021,21.09,15.82,0,88.02,102.42,146.92,242.37,337.16,177.25,73.49,36.33,16.28
2022,26.94,25.99,28.5,93.75,8.56,179.45,317.52,207.77,134.04,62.85,6.06,16.99
